accountsservice-ubuntu-schemas
accountsservice
acl
adduser
adwaita-icon-theme
alsa-topology-conf
alsa-ucm-conf
amd64-microcode
apg
apparmor
apport-symptoms
apport
apt-utils
apt
aptdaemon-data
aptdaemon
aspell-en
aspell
at-spi2-core
avahi-daemon
avahi-utils
base-files
base-passwd
bash-completion
bash
bc
bind9-dnsutils
bind9-host
bind9-libs
blueman
bluez-obexd
bluez
bsdmainutils
bsdutils
bubblewrap
busybox-initramfs
busybox-static
bzip2
ca-certificates
cheese-common
cinnamon-common
cinnamon-control-center-data
cinnamon-control-center-goa
cinnamon-control-center
cinnamon-desktop-data
cinnamon-l10n
cinnamon-screensaver
cinnamon-session-common
cinnamon-session
cinnamon-settings-daemon
cinnamon
cjs
colord-data
colord
command-not-found
console-setup-linux
console-setup
coreutils
cpio
cpp-9
cpp
cracklib-runtime
crda
cron
cups-browsed
cups-client
cups-common
cups-core-drivers
cups-daemon
cups-filters-core-drivers
cups-filters
cups-ipp-utils
cups-pk-helper
cups-ppdc
cups-server-common
cups
dash
dbus-user-session
dbus
dconf-cli
dconf-gsettings-backend
dconf-service
debconf-i18n
debconf
debianutils
desktop-file-utils
dictionaries-common
diffutils
dirmngr
distro-info-data
dmidecode
dmsetup
dns-root-data
dnsmasq-base
docbook-xml
dosfstools
dpkg
e2fsprogs
ed
eject
emacsen-common
enchant-2
evolution-data-server-common
evolution-data-server
fdisk
file-roller
file
findutils
fontconfig-config
fontconfig
fonts-dejavu-core
fonts-droid-fallback
fonts-lato
fonts-noto-mono
fonts-urw-base35
friendly-recovery
ftp
fuse
gcc-10-base
gcc-9-base
gcr
gdisk
geoclue-2.0
gettext-base
gettext
ghostscript
gir1.2-accountsservice-1.0
gir1.2-appindicator3-0.1
gir1.2-atk-1.0
gir1.2-caribou-1.0
gir1.2-cinnamondesktop-3.0
gir1.2-clutter-1.0
gir1.2-cmenu-3.0
gir1.2-cogl-1.0
gir1.2-coglpango-1.0
gir1.2-cvc-1.0
gir1.2-dbusmenu-glib-0.4
gir1.2-freedesktop
gir1.2-gdesktopenums-3.0
gir1.2-gdkpixbuf-2.0
gir1.2-gkbd-3.0
gir1.2-glib-2.0
gir1.2-gnomedesktop-3.0
gir1.2-gtk-3.0
gir1.2-gtkclutter-1.0
gir1.2-ibus-1.0
gir1.2-json-1.0
gir1.2-keybinder-3.0
gir1.2-meta-muffin-0.0
gir1.2-nemo-3.0
gir1.2-nm-1.0
gir1.2-nma-1.0
gir1.2-notify-0.7
gir1.2-packagekitglib-1.0
gir1.2-pango-1.0
gir1.2-polkit-1.0
gir1.2-secret-1
gir1.2-soup-2.4
gir1.2-timezonemap-1.0
gir1.2-upowerglib-1.0
gir1.2-vte-2.91
gir1.2-xapp-1.0
gir1.2-xkl-1.0
gist
gkbd-capplet
glib-networking-common
glib-networking-services
glib-networking
gnome-accessibility-themes
gnome-backgrounds
gnome-bluetooth
gnome-control-center-data
gnome-control-center-faces
gnome-control-center
gnome-desktop3-data
gnome-keyring-pkcs11
gnome-keyring
gnome-online-accounts
gnome-power-manager
gnome-screensaver
gnome-settings-daemon-common
gnome-settings-daemon
gnome-terminal-data
gnome-terminal
gnome-themes-extra-data
gnome-themes-extra
gnome-user-docs
gnupg-l10n
gnupg-utils
gnupg
gpg-agent
gpg-wks-client
gpg-wks-server
gpg
gpgconf
gpgsm
gpgv
grep
groff-base
grub-common
grub-gfxpayload-lists
grub-pc-bin
grub-pc
grub2-common
gsettings-desktop-schemas
gsettings-ubuntu-schemas
gstreamer1.0-clutter-3.0
gstreamer1.0-gl
gstreamer1.0-plugins-base
gstreamer1.0-plugins-good
gstreamer1.0-pulseaudio
gstreamer1.0-x
gtk-update-icon-cache
gtk2-engines-pixbuf
gvfs-backends
gvfs-common
gvfs-daemons
gvfs-fuse
gvfs-libs
gvfs
gzip
hddtemp
hdparm
hicolor-icon-theme
hostname
humanity-icon-theme
hunspell-en-us
hwdata
ibus-data
ibus-gtk3
ibus-gtk
ibus
iio-sensor-proxy
im-config
indicator-applet
indicator-application
indicator-appmenu
indicator-bluetooth
indicator-common
indicator-datetime
indicator-keyboard
indicator-messages
indicator-power
indicator-printers
indicator-session
indicator-sound
info
init-system-helpers
init
initramfs-tools-bin
initramfs-tools-core
initramfs-tools
install-info
installation-report
intel-microcode
inxi
ippusbxd
iproute2
iptables
iputils-ping
iputils-tracepath
irqbalance
isc-dhcp-client
isc-dhcp-common
iso-codes
iso-flags-png-320x240
iucode-tool
iw
javascript-common
jayatana
kbd
keyboard-configuration
klibc-utils
kmod
krb5-locales
