accountsservice
acl
adduser
adwaita-icon-theme
amd64-microcode
apg
apparmor
apport
apport-symptoms
apt
apt-utils
aptdaemon
aptdaemon-data
aspell
aspell-en
at-spi2-core
avahi-daemon
base-files
base-passwd
bash
bash-completion
bind9-host
binutils
binutils-common
binutils-x86-64-linux-gnu
blueman
bluez
bluez-obexd
bsdmainutils
bsdutils
bubblewrap
busybox-initramfs
busybox-static
bzip2
ca-certificates
cheese-common
cinnamon
cinnamon-common
cinnamon-control-center
cinnamon-control-center-data
cinnamon-desktop-data
cinnamon-l10n
cinnamon-screensaver
cinnamon-screensaver-x-plugin
cinnamon-session
cinnamon-session-common
cinnamon-settings-daemon
cjs
colord
colord-data
command-not-found
command-not-found-data
console-setup
console-setup-linux
coreutils
cpio
cpp
cpp-7
cracklib-runtime
crda
cron
cups-pk-helper
dash
dbus
dbus-user-session
dconf-cli
dconf-gsettings-backend
dconf-service
debconf
debconf-i18n
debianutils
desktop-file-utils
dictionaries-common
diffstat
diffutils
dirmngr
distro-info-data
dmidecode
dmsetup
dns-root-data
dnsmasq-base
dnsutils
dosfstools
dpkg
e2fsprogs
ed
eject
emacsen-common
enchant
evolution-data-server
evolution-data-server-common
fdisk
file
file-roller
findutils
fontconfig
fontconfig-config
fonts-dejavu-core
fonts-droid-fallback
fonts-lato
fonts-noto-mono
fonts-ubuntu
friendly-recovery
ftp
fuse
gawk
gcc-7-base
gcc-8-base
gcr
gdisk
geoclue
geoclue-2.0
geoclue-ubuntu-geoip
geoip-database
gettext
gettext-base
ghostscript
gir1.2-accountsservice-1.0
gir1.2-appindicator3-0.1
gir1.2-atk-1.0
gir1.2-caribou-1.0
gir1.2-cinnamondesktop-3.0
gir1.2-clutter-1.0
gir1.2-cmenu-3.0
gir1.2-cogl-1.0
gir1.2-coglpango-1.0
gir1.2-cvc-1.0
gir1.2-freedesktop
gir1.2-gdesktopenums-3.0
gir1.2-gdkpixbuf-2.0
gir1.2-gkbd-3.0
gir1.2-glib-2.0
gir1.2-gnomebluetooth-1.0
gir1.2-gnomedesktop-3.0
gir1.2-gtk-3.0
gir1.2-gtkclutter-1.0
gir1.2-ibus-1.0
gir1.2-json-1.0
gir1.2-keybinder-3.0
gir1.2-meta-muffin-0.0
gir1.2-nm-1.0
gir1.2-nma-1.0
gir1.2-notify-0.7
gir1.2-packagekitglib-1.0
gir1.2-pango-1.0
gir1.2-polkit-1.0
gir1.2-secret-1
gir1.2-soup-2.4
gir1.2-upowerglib-1.0
gir1.2-vte-2.91
gir1.2-xapp-1.0
gir1.2-xkl-1.0
gist
gkbd-capplet
glib-networking
glib-networking-common
glib-networking-services
gnome-accessibility-themes
gnome-backgrounds
gnome-control-center
gnome-control-center-data
gnome-control-center-faces
gnome-desktop3-data
gnome-icon-theme
gnome-keyring
gnome-keyring-pkcs11
gnome-online-accounts
gnome-power-manager
gnome-screensaver
gnome-settings-daemon
gnome-settings-daemon-schemas
gnome-terminal
gnome-terminal-data
gnome-themes-extra
gnome-themes-extra-data
gnome-user-docs
gnupg
gnupg-l10n
gnupg-utils
gpg
gpg-agent
gpg-wks-client
gpg-wks-server
gpgconf
gpgsm
gpgv
grep
groff-base
grub-common
grub-gfxpayload-lists
grub-pc
grub-pc-bin
grub2-common
gsettings-desktop-schemas
gsettings-ubuntu-schemas
gsfonts
gstreamer1.0-clutter-3.0
gstreamer1.0-gl
gstreamer1.0-plugins-base
gstreamer1.0-plugins-good
gstreamer1.0-pulseaudio
gstreamer1.0-x
gtk-update-icon-cache
gtk2-engines-pixbuf
gvfs
gvfs-backends
gvfs-bin
gvfs-common
gvfs-daemons
gvfs-fuse
gvfs-libs
gzip
hddtemp
hdparm
hicolor-icon-theme
hostname
humanity-icon-theme
hunspell-en-us
hwdata
ibus
ibus-gtk
ibus-gtk3
iio-sensor-proxy
im-config
indicator-applet
indicator-application
indicator-common
indicator-datetime
indicator-keyboard
indicator-messages
indicator-power
indicator-session
indicator-sound
info
init
init-system-helpers
initramfs-tools
initramfs-tools-bin
initramfs-tools-core
install-info
installation-report
intel-microcode
intltool-debian
inxi
ippusbxd
iproute2
iptables
iputils-arping
iputils-ping
iputils-tracepath
irqbalance
isc-dhcp-client
isc-dhcp-common
iso-codes
iso-flags-png-320x240
iucode-tool
iw
javascript-common
kbd
keyboard-configuration
klibc-utils
kmod
krb5-locales
language-pack-en
language-pack-en-base
language-pack-gnome-en
language-pack-gnome-en-base
language-selector-common
language-selector-gnome
laptop-detect
less
libaa1
libaccounts-glib0
libaccountsservice0
libacl1
libapparmor1
libappindicator3-1
libappstream4
libapt-inst2.0
libapt-pkg-perl
libapt-pkg5.0
libarchive-zip-perl
libarchive13
libargon2-0
libasn1-8-heimdal
libasound2
libasound2-data
libasound2-plugins
libaspell15
libassuan0
libasyncns0
libatasmart4
libatk-bridge2.0-0
libatk1.0-0
libatk1.0-data
libatm1
libatspi2.0-0
libattr1
libaudit-common
libaudit1
libauthen-sasl-perl
libavahi-client3
libavahi-common-data
libavahi-common3
libavahi-core7
libavahi-glib1
libavc1394-0
libbind9-160
libbinutils
libblkid1
libblockdev-crypto2
libblockdev-fs2
libblockdev-loop2
libblockdev-part-err2
libblockdev-part2
libblockdev-swap2
libblockdev-utils2
libblockdev2
libbluetooth3
libboost-system1.65.1
libboost-thread1.65.1
libbrotli1
libbsd0
libbz2-1.0
libc-bin
libc6
libcaca0
libcairo-gobject2
libcairo2
libcamel-1.2-61
libcanberra-gtk3-0
libcanberra-gtk3-module
libcanberra-pulse
libcanberra0
libcap-ng0
libcap2
libcap2-bin
libcaribou-common
libcaribou0
libcdio-cdda2
libcdio-paranoia2
libcdio17
libcdparanoia0
libcgi-fast-perl
libcgi-pm-perl
libcheese-gtk25
libcheese8
libcinnamon-control-center1
libcinnamon-desktop4
libcinnamon-menu-3-0
libcjs0
libclass-accessor-perl
libclone-perl
libclutter-1.0-0
libclutter-1.0-common
libclutter-gst-3.0-0
libclutter-gtk-1.0-0
libcogl-common
libcogl-pango20
libcogl-path20
libcogl20
libcolord-gtk1
libcolord2
libcolorhug2
libcom-err2
libcrack2
libcroco3
libcryptsetup12
libcscreensaver0
libcups2
libcupsfilters1
libcupsimage2
libcurl3-gnutls
libcvc0
libdaemon0
libdata-dump-perl
libdatrie1
libdb5.3
libdbus-1-3
libdbus-glib-1-2
libdbusmenu-glib4
libdbusmenu-gtk3-4
libdconf1
libdebconfclient0
libdevmapper1.02.1
libdigest-hmac-perl
libdns-export1100
libdns1100
libdpkg-perl
libdrm-amdgpu1
libdrm-common
libdrm-intel1
libdrm-nouveau2
libdrm-radeon1
libdrm2
libdv4
libebackend-1.2-10
libebook-1.2-19
libebook-contacts-1.2-2
libecal-1.2-19
libedata-book-1.2-25
libedata-cal-1.2-28
libedataserver-1.2-23
libedit2
libegl-mesa0
libegl1
libelf1
libemail-valid-perl
libenchant1c2a
libencode-locale-perl
libepoxy0
libestr0
libevdev2
libexempi3
libexif12
libexpat1
libexporter-tiny-perl
libext2fs2
libfastjson4
libfcgi-perl
libfcitx-config4
libfcitx-gclient1
libfcitx-utils0
libfdisk1
libffi6
libfile-basedir-perl
libfile-copy-recursive-perl
libfile-desktopentry-perl
libfile-fcntllock-perl
libfile-listing-perl
libfile-mimeinfo-perl
libflac8
libfont-afm-perl
libfontconfig1
libfontenc1
libfreetype6
libfribidi0
libfuse2
libgail-3-0
libgbm1
libgcc1
libgck-1-0
libgcr-base-3-1
libgcr-ui-3-1
libgcrypt20
libgd3
libgdata-common
libgdata22
libgdbm-compat4
libgdbm5
libgdk-pixbuf2.0-0
libgdk-pixbuf2.0-bin
libgdk-pixbuf2.0-common
libgee-0.8-2
libgeoclue-2-0
libgeoclue0
libgeocode-glib0
libgeoip1
libgirepository-1.0-1
libgl1
libgl1-mesa-dri
libgl1-mesa-glx
libglapi-mesa
libgle3
libglib2.0-0
libglib2.0-bin
libglib2.0-data
libglu1-mesa
libglvnd0
libglx-mesa0
libglx0
libgmime-3.0-0
libgmp10
libgnome-bluetooth13
libgnome-desktop-3-17
libgnomekbd-common
libgnomekbd8
libgnutls30
libgoa-1.0-0b
libgoa-1.0-common
libgoa-backend-1.0-1
libgomp1
libgpg-error0
libgpgme11
libgphoto2-6
libgphoto2-l10n
libgphoto2-port12
libgpm2
libgraphene-1.0-0
libgraphite2-3
libgrilo-0.3-0
libgs9
libgs9-common
libgssapi-krb5-2
libgssapi3-heimdal
libgstreamer-gl1.0-0
libgstreamer-plugins-base1.0-0
libgstreamer-plugins-good1.0-0
libgstreamer1.0-0
libgtk-3-0
libgtk-3-bin
libgtk-3-common
libgtop-2.0-11
libgtop2-common
libgudev-1.0-0
libgusb2
libgweather-3-15
libgweather-common
libharfbuzz-icu0
libharfbuzz0b
libhcrypto4-heimdal
libheimbase1-heimdal
libheimntlm0-heimdal
libhogweed4
libhtml-form-perl
libhtml-format-perl
libhtml-parser-perl
libhtml-tagset-perl
libhtml-tree-perl
libhttp-cookies-perl
libhttp-daemon-perl
libhttp-date-perl
libhttp-message-perl
libhttp-negotiate-perl
libhunspell-1.6-0
libhx509-5-heimdal
libhyphen0
libibus-1.0-5
libical3
libice6
libicu60
libidn11
libidn2-0
libido3-0.1-0
libiec61883-0
libieee1284-3
libijs-0.35
libimobiledevice6
libindicator3-7
libinput-bin
libinput10
libio-html-perl
libio-pty-perl
libio-socket-inet6-perl
libio-socket-ssl-perl
libio-string-perl
libip4tc0
libip6tc0
libipc-run-perl
libipc-system-simple-perl
libiptc0
libirs160
libisc-export169
libisc169
libisccc160
libisccfg160
libisl19
libjack-jackd2-0
libjansson4
libjavascriptcoregtk-4.0-18
libjbig0
libjbig2dec0
libjpeg-turbo-progs
libjpeg-turbo8
libjpeg8
libjs-jquery
libjson-c3
libjson-glib-1.0-0
libjson-glib-1.0-common
libk5crypto3
libkeybinder-3.0-0
libkeyutils1
libklibc
libkmod2
libkrb5-26-heimdal
libkrb5-3
libkrb5support0
libksba8
liblcms2-2
libldap-2.4-2
libldap-common
libldb1
liblightdm-gobject-1-0
liblist-moreutils-perl
libllvm9
liblocale-gettext-perl
libltdl7
liblwp-mediatypes-perl
liblwp-protocol-https-perl
liblwres160
liblz4-1
liblzma5
liblzo2-2
libmagic-mgc
libmagic1
libmailtools-perl
libmbim-glib4
libmbim-proxy
libmessaging-menu0
libmm-glib0
libmnl0
libmount1
libmozjs-38-0
libmp3lame0
libmpc3
libmpdec2
libmpfr6
libmpg123-0
libmtdev1
libmtp-common
libmtp-runtime
libmtp9
libmuffin0
libnautilus-extension1a
libncurses5
libncursesw5
libndp0
libnemo-extension1
libnet-dbus-perl
libnet-dns-perl
libnet-domain-tld-perl
libnet-http-perl
libnet-ip-perl
libnet-smtp-ssl-perl
libnet-ssleay-perl
libnetfilter-conntrack3
libnetpbm10
libnettle6
libnewt0.52
libnfnetlink0
libnghttp2-14
libnih1
libnl-3-200
libnl-genl-3-200
libnm-glib4
libnm-util2
libnm0
libnma0
libnotify4
libnpth0
libnspr4
libnss-mdns
libnss-myhostname
libnss-systemd
libnss3
libntfs-3g88
libnuma1
liboauth0
libogg0
libopus0
liborc-0.4-0
libp11-kit0
libpackagekit-glib2-18
libpam-cap
libpam-gnome-keyring
libpam-modules
libpam-modules-bin
libpam-runtime
libpam-systemd
libpam0g
libpanel-applet3
libpango-1.0-0
libpangocairo-1.0-0
libpangoft2-1.0-0
libpangoxft-1.0-0
libpaper-utils
libpaper1
libparse-debianchangelog-perl
libparted-fs-resize0
libparted2
libpcap0.8
libpci3
libpciaccess0
libpcre3
libpcsclite1
libperl5.26
libperlio-gzip-perl
libphonenumber7
libpipeline1
libpixman-1-0
libplist3
libplymouth4
libpng16-16
libpolkit-agent-1-0
libpolkit-backend-1-0
libpolkit-gobject-1-0
libpopt0
libprocps6
libprotobuf10
libproxy1v5
libpsl5
libpulse-mainloop-glib0
libpulse0
libpulsedsp
libpwquality-common
libpwquality1
libpython-stdlib
libpython2.7
libpython2.7-minimal
libpython2.7-stdlib
libpython3-stdlib
libpython3.6
libpython3.6-minimal
libpython3.6-stdlib
libqmi-glib5
libqmi-proxy
libraw1394-11
libreadline7
librest-0.7-0
libroken18-heimdal
librsvg2-2
librsvg2-common
librtmp1
libruby2.5
libsamplerate0
libsane-common
libsane1
libsasl2-2
libsasl2-modules
libsasl2-modules-db
libsbc1
libseccomp2
libsecret-1-0
libsecret-common
libselinux1
libsemanage-common
libsemanage1
libsensors4
libsepol1
libshout3
libsigsegv2
libslang2
libsm6
libsmartcols1
libsmbclient
libsnapd-glib1
libsndfile1
libsocket6-perl
libsodium23
libsoup-gnome2.4-1
libsoup2.4-1
libspeex1
libspeexdsp1
libsqlite3-0
libss2
libssl1.0.0
libssl1.1
libstartup-notification0
libstdc++6
libstemmer0d
libsub-name-perl
libsystemd0
libtag1v5
libtag1v5-vanilla
libtalloc2
libtasn1-6
libtdb1
libteamdctl0
libtevent0
libtext-charwidth-perl
libtext-iconv-perl
libtext-levenshtein-perl
libtext-wrapi18n-perl
libthai-data
libthai0
libtheora0
libtie-ixhash-perl
libtiff5
libtimedate-perl
libtinfo5
libtotem-plparser-common
libtotem-plparser18
libtry-tiny-perl
libtwolame0
libudev1
libudisks2-0
libunistring2
libunity-settings-daemon1
libunwind8
libupower-glib3
liburi-perl
liburl-dispatcher1
libusb-1.0-0
libusbmuxd4
libuuid1
libv4l-0
libv4lconvert0
libvisual-0.4-0
libvolume-key1
libvorbis0a
libvorbisenc2
libvorbisfile3
libvpx5
libvte-2.91-0
libvte-2.91-common
libwacom-bin
libwacom-common
libwacom2
libwavpack1
libwayland-client0
libwayland-cursor0
libwayland-egl1
libwayland-server0
libwbclient0
libwebkit2gtk-4.0-37
libwebp6
libwebpdemux2
libwebpmux3
libwebrtc-audio-processing1
libwhoopsie-preferences0
libwhoopsie0
libwind0-heimdal
libwoff1
libwrap0
libwww-perl
libwww-robotrules-perl
libx11-6
libx11-data
libx11-protocol-perl
libx11-xcb1
libxapp1
libxatracker2
libxau6
libxaw7
libxcb-dri2-0
libxcb-dri3-0
libxcb-glx0
libxcb-present0
libxcb-render0
libxcb-shape0
libxcb-shm0
libxcb-sync1
libxcb-util1
libxcb-xfixes0
libxcb1
libxcomposite1
libxcursor1
libxdamage1
libxdmcp6
libxext6
libxfixes3
libxfont2
libxft2
libxi6
libxinerama1
libxkbcommon0
libxkbfile1
libxklavier16
libxml-libxml-perl
libxml-namespacesupport-perl
libxml-parser-perl
libxml-sax-base-perl
libxml-sax-expat-perl
libxml-sax-perl
libxml-simple-perl
libxml-twig-perl
libxml-xpathengine-perl
libxml2
libxmu6
libxmuu1
libxpm4
libxrandr2
libxrender1
libxshmfence1
libxslt1.1
libxss1
libxt6
libxtables12
libxtst6
libxv1
libxvmc1
libxxf86dga1
libxxf86vm1
libyaml-0-2
libyaml-libyaml-perl
libyelp0
libzstd1
lightdm
lintian
linux-base
linux-firmware
linux-generic-hwe-18.04
linux-headers-5.3.0-46
linux-headers-5.3.0-46-generic
linux-headers-generic-hwe-18.04
linux-image-5.3.0-46-generic
linux-image-generic-hwe-18.04
linux-modules-5.3.0-46-generic
linux-modules-extra-5.3.0-46-generic
lm-sensors
locales
login
logrotate
lsb-base
lsb-release
lshw
lsof
ltrace
man-db
manpages
mawk
mesa-utils
metacity-common
mime-support
mlocate
mobile-broadband-provider-info
modemmanager
mount
mousetweaks
mtr-tiny
muffin
muffin-common
multiarch-support
nano
nautilus-data
nautilus-extension-gnome-terminal
ncurses-base
ncurses-bin
nemo
nemo-data
nemo-fileroller
net-tools
netbase
netcat-openbsd
netpbm
netplan.io
network-manager
network-manager-gnome
network-manager-pptp
networkd-dispatcher
nplan
ntfs-3g
openssh-client
openssl
os-prober
p11-kit
p11-kit-modules
packagekit
packagekit-tools
parted
passwd
patch
patchutils
pciutils
perl
perl-base
perl-modules-5.26
perl-openssl-defaults
pinentry-curses
pinentry-gnome3
plymouth
plymouth-theme-ubuntu-text
policykit-1
policykit-1-gnome
poppler-data
popularity-contest
powermgmt-base
ppp
