acpi-support
acpid
adium-theme-ubuntu
alsa-base
alsa-utils
anacron
app-install-data-partner
apport-gtk
appstream
apt-config-icons
apturl
apturl-common
avahi-autoipd
avahi-utils
bc
bluez-cups
bolt
brltty
chromium-codecs-ffmpeg-extra
cups
cups-browsed
cups-bsd
cups-client
cups-common
cups-core-drivers
cups-daemon
cups-filters
cups-filters-core-drivers
cups-ipp-utils
cups-ppdc
cups-server-common
dbus-x11
dc
dmz-cursor-theme
efibootmgr
eog
espeak-ng-data
evince
evince-common
firefox
firefox-locale-en
fonts-beng
fonts-beng-extra
fonts-deva
fonts-deva-extra
fonts-freefont-ttf
fonts-gargi
fonts-gubbi
fonts-gujr
fonts-gujr-extra
fonts-guru
fonts-guru-extra
fonts-indic
fonts-kacst
fonts-kacst-one
fonts-kalapi
fonts-khmeros-core
fonts-knda
fonts-lao
fonts-liberation
fonts-liberation2
fonts-lklug-sinhala
fonts-lohit-beng-assamese
fonts-lohit-beng-bengali
fonts-lohit-deva
fonts-lohit-gujr
fonts-lohit-guru
fonts-lohit-knda
fonts-lohit-mlym
fonts-lohit-orya
fonts-lohit-taml
fonts-lohit-taml-classical
fonts-lohit-telu
fonts-mlym
fonts-nakula
fonts-navilu
fonts-noto-cjk
fonts-noto-color-emoji
fonts-opensymbol
fonts-orya
fonts-orya-extra
fonts-pagul
fonts-sahadeva
fonts-samyak-deva
fonts-samyak-gujr
fonts-samyak-mlym
fonts-samyak-taml
fonts-sarai
fonts-sil-abyssinica
fonts-sil-padauk
fonts-smc
fonts-smc-anjalioldlipi
fonts-smc-chilanka
fonts-smc-dyuthi
fonts-smc-karumbi
fonts-smc-keraleeyam
fonts-smc-manjari
fonts-smc-meera
fonts-smc-rachana
fonts-smc-raghumalayalamsans
fonts-smc-suruma
fonts-smc-uroob
fonts-taml
fonts-telu
fonts-telu-extra
fonts-thai-tlwg
fonts-tibetan-machine
fonts-tlwg-garuda
fonts-tlwg-garuda-ttf
fonts-tlwg-kinnari
fonts-tlwg-kinnari-ttf
fonts-tlwg-laksaman
fonts-tlwg-laksaman-ttf
fonts-tlwg-loma
fonts-tlwg-loma-ttf
fonts-tlwg-mono
fonts-tlwg-mono-ttf
fonts-tlwg-norasi
fonts-tlwg-norasi-ttf
fonts-tlwg-purisa
fonts-tlwg-purisa-ttf
fonts-tlwg-sawasdee
fonts-tlwg-sawasdee-ttf
fonts-tlwg-typewriter
fonts-tlwg-typewriter-ttf
fonts-tlwg-typist
fonts-tlwg-typist-ttf
fonts-tlwg-typo
fonts-tlwg-typo-ttf
fonts-tlwg-umpush
fonts-tlwg-umpush-ttf
fonts-tlwg-waree
fonts-tlwg-waree-ttf
foomatic-db-compressed-ppds
fwupd
fwupdate
fwupdate-signed
gdb
gdbserver
gdm3
gedit
gedit-common
genisoimage
ghostscript-x
gir1.2-atspi-2.0
gir1.2-dbusmenu-glib-0.4
gir1.2-dee-1.0
gir1.2-gck-1
gir1.2-gcr-3
gir1.2-gdm-1.0
gir1.2-geoclue-2.0
gir1.2-geocodeglib-1.0
gir1.2-gmenu-3.0
gir1.2-goa-1.0
gir1.2-gst-plugins-base-1.0
gir1.2-gstreamer-1.0
gir1.2-gtksource-3.0
gir1.2-gudev-1.0
gir1.2-gweather-3.0
gir1.2-javascriptcoregtk-4.0
gir1.2-mutter-2
gir1.2-peas-1.0
gir1.2-rsvg-2.0
gir1.2-snapd-1
gir1.2-udisks-2.0
gir1.2-unity-5.0
gir1.2-webkit2-4.0
gir1.2-wnck-3.0
gjs
gnome-bluetooth
gnome-disk-utility
gnome-font-viewer
gnome-getting-started-docs
gnome-initial-setup
gnome-menus
gnome-screenshot
gnome-session-bin
gnome-session-canberra
gnome-session-common
gnome-shell
gnome-shell-common
gnome-shell-extension-appindicator
gnome-shell-extension-ubuntu-dock
gnome-software
gnome-software-common
gnome-software-plugin-snap
gnome-startup-applications
gnome-user-guide
