alsa-topology-conf
alsa-ucm-conf
bind9-dnsutils
bind9-libs
cpp-9
docbook-xml
enchant-2
ethtool
fonts-smc-gayathri
fonts-urw-base35
fonts-yrsa-rasa
fprintd
fwupd-signed
gamemode
gcc-10-base
gcc-9-base
gir1.2-graphene-1.0
gir1.2-gtksource-4
gir1.2-mutter-6
gnome-calculator
gnome-characters
gnome-logs
gnome-settings-daemon-common
gnome-shell-extension-desktop-icons
gnome-system-monitor
ibus-data
intel-media-va-driver
libamtk-5-0
libamtk-5-common
libaom0
libapt-pkg6.0
libargon2-1
libatkmm-1.6-1v5
libatopology2
libavcodec58
libavfilter7
libavformat58
libavutil56
libboost-thread1.71.0
libbrlapi0.7
libcairomm-1.0-1v5
libcamel-1.2-62
libcbor0.6
libcdio18
libcodec2-0.9
libcrypt1
libcue2
libdns-export1109
libdvdread7
libebook-1.2-20
libebook-contacts-1.2-3
libecal-2.0-1
libedata-book-1.2-26
libedata-cal-2.0-1
libedataserver-1.2-24
libenchant-2-2
libexempi8
libexiv2-27
libextutils-depends-perl
libextutils-pkgconfig-perl
libffi7
libfido2-1
libfprint-2-2
libfprint-2-tod1
libfwupdplugin1
libgamemode0
libgamemodeauto0
libgcc-s1
libgdbm6
libgif7
libglibmm-2.4-1v5
libgnome-desktop-3-19
libgsf-1-114
libgsf-1-common
libgsound0
libgspell-1-2
libgssdp-1.2-0
libgtkmm-3.0-1v5
libgtksourceview-4-0
libgtksourceview-4-common
libgupnp-1.2-0
libgupnp-av-1.0-2
libgupnp-dlna-2.0-3
libgweather-3-16
libhandy-0.0-0
libhogweed5
libhunspell-1.7-0
libicu66
libigdgmm11
libimagequant0
libio-stringy-perl
libip4tc2
libip6tc2
libisc-export1105
libisl22
libjson-c4
libldb2
liblilv-0-0
liblmdb0
liblouis20
liblouisutdml9
libmaxminddb0
libmozjs-68-0
libmspack0
libmutter-6-0
libmysofa1
libmysqlclient21
libncurses6
libncursesw6
libnetplan0
libnettle7
libnfs13
libnftnl11
libnl-route-3-200
libntfs-3g883
libpam-fprintd
libpangomm-1.4-1v5
libpcre2-32-0
libpcre2-8-0
libperl5.30
libpkcs11-helper1
libplymouth5
libpoppler-cpp0v5
libpoppler97
libpostproc55
libprocps8
libprotobuf17
libpython3.8
libpython3.8-minimal
libpython3.8-stdlib
libqpdf26
libreadline8
librygel-core-2.6-2
librygel-db-2.6-2
librygel-renderer-2.6-2
librygel-server-2.6-2
libsane
libsensors-config
libsensors5
libserd-0-0
libsigc++-2.0-0v5
libsnmp35
libsord-0-0
libsratom-0-0
libswresample3
libswscale5
libsynctex2
libtepl-4-0
libtinfo6
libtracker-control-2.0-0
libtracker-miner-2.0-0
libtss2-esys0
libuchardet0
libusbmuxd6
libuv1
libvidstab1.1
libvpx6
libvulkan1
libx264-155
libx265-179
libxmlb1
libxmlsec1-openssl
linux-generic-hwe-20.04
linux-headers-5.4.0-26
linux-headers-5.4.0-26-generic
linux-headers-generic-hwe-20.04
linux-image-5.4.0-26-generic
linux-image-generic-hwe-20.04
linux-modules-5.4.0-26-generic
linux-modules-extra-5.4.0-26-generic
logsave
lz4
mesa-vulkan-drivers
mysql-common
network-manager-openvpn
network-manager-openvpn-gnome
ocl-icd-libopencl1
open-vm-tools
open-vm-tools-desktop
openvpn
pci.ids
perl-modules-5.30
pkg-config
plymouth-theme-spinner
python3-blinker
python3-distro
python3-entrypoints
python3-ibus-1.0
python3-jwt
python3-oauthlib
python3-talloc
python3.8
python3.8-minimal
rygel
sgml-base
sgml-data
switcheroo-control
systemd-timesyncd
tpm-udev
tracker
tracker-extract
tracker-miner-fs
ubuntu-desktop-minimal
ubuntu-wallpapers-focal
usb.ids
xdg-dbus-proxy
xml-core
xserver-xorg
xserver-xorg-core
xserver-xorg-input-all
xserver-xorg-input-libinput
xserver-xorg-input-wacom
xserver-xorg-legacy
xserver-xorg-video-all
xserver-xorg-video-amdgpu
xserver-xorg-video-ati
xserver-xorg-video-fbdev
xserver-xorg-video-intel
xserver-xorg-video-nouveau
xserver-xorg-video-qxl
xserver-xorg-video-radeon
xserver-xorg-video-vesa
xserver-xorg-video-vmware
yaru-theme-gnome-shell
yaru-theme-gtk
yaru-theme-icon
yaru-theme-sound
zerofree
