adium-theme-ubuntu
apt-config-icons
binutils
binutils-common
binutils-x86-64-linux-gnu
command-not-found-data
cpp-7
diffstat
dnsutils
efibootmgr
enchant
fwupdate
fwupdate-signed
gcc-7-base
gcc-8-base
geoip-database
gettext
gir1.2-geocodeglib-1.0
gir1.2-gst-plugins-base-1.0
gir1.2-gtksource-3.0
gir1.2-gudev-1.0
gir1.2-mutter-2
gir1.2-udisks-2.0
gnome-settings-daemon-schemas
gnome-software
gnome-software-common
gnome-software-plugin-snap
gnome-user-guide
grilo-plugins-0.3-base
gsfonts
gstreamer1.0-fluendo-mp3
gstreamer1.0-gtk3
ifupdown
imagemagick
imagemagick-6-common
imagemagick-6.q16
intltool-debian
iputils-arping
libappstream-glib8
libapt-inst2.0
libapt-pkg-perl
libapt-pkg5.0
libarchive-zip-perl
libargon2-0
libart-2.0-2
libaudio2
libavcodec57
libavfilter6
libavformat57
libavresample3
libavutil55
libbind9-160
libbinutils
libboost-date-time1.65.1
libboost-filesystem1.65.1
libboost-iostreams1.65.1
libboost-locale1.65.1
libboost-system1.65.1
libboost-thread1.65.1
libbrlapi0.6
libcamel-1.2-61
libcdio17
libcdr-0.1-1
libcgi-fast-perl
libcgi-pm-perl
libclass-accessor-perl
libclone-perl
libclucene-contribs1v5
libclucene-core1v5
libcmis-0.5-5v5
libcolamd2
libcroco3
libcrystalhd3
libcupscgi1
libcupsmime1
libcupsppdc1
libdazzle-1.0-0
libdbusmenu-gtk4
libdigest-hmac-perl
libdns-export1100
libdns1100
libdvdread4
libe-book-0.1-1
libebook-1.2-19
libebook-contacts-1.2-2
libecal-1.2-19
libedata-book-1.2-25
libedata-cal-1.2-28
libedataserver-1.2-23
libegl1-mesa
libemail-valid-perl
libenchant1c2a
libeot0
libepubgen-0.1-1
libetonyek-0.1-1
libevent-2.1-6
libexempi3
libexiv2-14
libexporter-tiny-perl
libfcgi-perl
libffi6
libfile-copy-recursive-perl
libfreerdp-client2-2
libfreerdp2-2
libfwup1
libgail-3-0
libgc1c2
libgcc1
libgdbm5
libgeoip1
libgl1-mesa-glx
libgmime-3.0-0
libgnome-desktop-3-17
libgom-1.0-0
libgpgmepp6
libgpod-common
libgpod4
libgrilo-0.3-0
libgspell-1-1
libgtksourceview-3.0-1
libgtksourceview-3.0-common
libgutenprint2
libgweather-3-15
libhogweed4
libhunspell-1.6-0
libicu60
libilmbase12
libindicator3-7
libio-pty-perl
libio-socket-inet6-perl
libio-string-perl
libip4tc0
libip6tc0
libipc-run-perl
libiptc0
libirs160
libisc-export169
libisc169
libisccc160
libisccfg160
libisl19
libjson-c3
liblangtag-common
liblangtag1
libldb1
liblirc-client0
liblist-moreutils-perl
libllvm6.0
liblouis14
liblouisutdml8
liblqr-1-0
liblua5.3-0
liblwres160
libmagickcore-6.q16-3
libmagickcore-6.q16-3-extra
libmagickwand-6.q16-3
libmozjs-52-0
libmspub-0.1-1
libmutter-2-0
libmysofa0
libncurses5
libncursesw5
libnet-dns-perl
libnet-domain-tld-perl
libnet-ip-perl
libnet-libidn-perl
libnetpbm10
libnettle6
libnih1
libnss-myhostname
libntfs-3g88
liboauth0
libodfgen-0.1-1
libopenexr22
libparse-debianchangelog-perl
libperl5.26
libperlio-gzip-perl
libplymouth4
libpolkit-backend-1-0
libpoppler73
libpostproc54
libprocps6
libprotobuf10
libpython2.7
libpython2.7-minimal
libpython2.7-stdlib
libpython3.6
libpython3.6-minimal
libpython3.6-stdlib
libqpdf21
libqqwing2v5
libraw16
libreadline7
librevenge-0.0-0
libsane1
libsensors4
libsgutils2-2
libsnmp30
libsocket6-perl
libssl1.0.0
libsub-name-perl
libsuitesparseconfig5
libswresample2
libswscale4
libtext-levenshtein-perl
libtinfo5
libusbmuxd4
libvncclient1
libvpx5
libwayland-egl1-mesa
libwinpr2-2
libx264-152
libx265-146
libxapian30
libxml-libxml-perl
libxml-namespacesupport-perl
libxml-sax-base-perl
libxml-sax-expat-perl
libxml-sax-perl
libxml-simple-perl
libxmlsec1-nss
libyaml-libyaml-perl
libzeitgeist-2.0-0
light-themes
lintian
linux-generic-hwe-18.04
linux-headers-5.3.0-28
linux-headers-5.3.0-28-generic
linux-headers-5.3.0-46
linux-headers-5.3.0-46-generic
linux-headers-generic-hwe-18.04
linux-image-5.3.0-28-generic
linux-image-5.3.0-46-generic
linux-image-generic-hwe-18.04
linux-modules-5.3.0-28-generic
linux-modules-5.3.0-46-generic
linux-modules-extra-5.3.0-28-generic
linux-modules-extra-5.3.0-46-generic
lp-solve
media-player-info
mlocate
multiarch-support
netpbm
notification-daemon
nplan
patchutils
perl-modules-5.26
plymouth-theme-ubuntu-logo
pppconfig
pppoeconf
printer-driver-gutenprint
python-talloc
python3-asn1crypto
python3-crypto
python3-keyrings.alt
python3-mako
python3-markupsafe
python3-oauth
python3-zope.interface
python3.6
python3.6-minimal
qpdf
syslinux
syslinux-common
syslinux-legacy
t1utils
ubuntu-artwork
ubuntu-software
ubuntu-sounds
ubuntu-system-service
ubuntu-wallpapers-bionic
ureadahead
usb-creator-common
xserver-xorg-core-hwe-18.04
xserver-xorg-hwe-18.04
xserver-xorg-input-all-hwe-18.04
xserver-xorg-input-libinput-hwe-18.04
xserver-xorg-input-wacom-hwe-18.04
xserver-xorg-legacy-hwe-18.04
xserver-xorg-video-all-hwe-18.04
xserver-xorg-video-amdgpu-hwe-18.04
xserver-xorg-video-ati-hwe-18.04
xserver-xorg-video-fbdev-hwe-18.04
xserver-xorg-video-intel-hwe-18.04
xserver-xorg-video-nouveau-hwe-18.04
xserver-xorg-video-qxl-hwe-18.04
xserver-xorg-video-radeon-hwe-18.04
xserver-xorg-video-vesa-hwe-18.04
