aisleriot
baobab
branding-ubuntu
cheese
deja-dup
duplicity
gir1.2-gst-plugins-base-1.0
gir1.2-gudev-1.0
gir1.2-rb-3.0
gir1.2-totem-1.0
gir1.2-totemplparser-1.0
gir1.2-udisks-2.0
gnome-calendar
gnome-mahjongg
gnome-mines
gnome-sudoku
gnome-todo
gnome-todo-common
gnome-video-effects
grilo-plugins-0.3-base
gstreamer1.0-gtk3
guile-2.2-libs
hyphen-en-us
libabw-0.1-1
libavahi-ui-gtk3-0
libboost-date-time1.71.0
libboost-filesystem1.71.0
libboost-iostreams1.71.0
libboost-locale1.71.0
libcdr-0.1-1
libclucene-contribs1v5
libclucene-core1v5
libcmis-0.5-5v5
libcolamd2
libcurl4
libdazzle-1.0-0
libdmapsharing-3.0-2
libe-book-0.1-1
libeot0
libepubgen-0.1-1
libetonyek-0.1-1
libevent-2.1-7
libexttextcat-2.0-0
libexttextcat-data
libfreehand-0.1-1
libfreerdp-client2-2
libfreerdp2-2
libgc1c2
libgnome-games-support-1-3
libgnome-games-support-common
libgnome-todo
libgom-1.0-0
libgpgmepp6
libgpod-common
libgpod4
libgrilo-0.3-0
libjuh-java
libjurt-java
liblangtag-common
liblangtag1
liblirc-client0
liblua5.3-0
libmessaging-menu0
libmhash2
libminiupnpc17
libmspub-0.1-1
libmwaw-0.3-3
libmythes-1.2-0
libnatpmp1
libneon27-gnutls
libodfgen-0.1-1
liborcus-0.15-0
libpagemaker-0.0-0
libqqwing2v5
libraptor2-0
librasqal3
libraw19
librdf0
libreoffice-base-core
libreoffice-calc
libreoffice-common
libreoffice-core
libreoffice-draw
libreoffice-gnome
libreoffice-gtk3
libreoffice-help-common
libreoffice-help-en-us
libreoffice-impress
libreoffice-math
libreoffice-ogltrans
libreoffice-pdfimport
libreoffice-style-breeze
libreoffice-style-colibre
libreoffice-style-elementary
libreoffice-style-tango
libreoffice-writer
librevenge-0.0-0
librhythmbox-core10
libridl-java
librsync2
libsgutils2-2
libsuitesparseconfig5
libtotem0
libuno-cppu3
libuno-cppuhelpergcc3-3
libuno-purpenvhelpergcc3-3
libuno-sal3
libuno-salhelpergcc3-3
libunoloader-java
libvisio-0.1-1
libvncclient1
libwinpr2-2
libwpd-0.10-10
libwpg-0.3-3
libwps-0.4-4
libxmlsec1-nss
libyajl2
lp-solve
media-player-info
mythes-en-us
python3-bcrypt
python3-fasteners
python3-future
python3-lib2to3
python3-lockfile
python3-mako
python3-markupsafe
python3-monotonic
python3-paramiko
python3-uno
remmina
remmina-common
remmina-plugin-rdp
remmina-plugin-secret
remmina-plugin-vnc
rhythmbox
rhythmbox-data
rhythmbox-plugin-alternative-toolbar
rhythmbox-plugins
shotwell
shotwell-common
simple-scan
syslinux
syslinux-common
syslinux-legacy
thunderbird
thunderbird-gnome-support
thunderbird-locale-en
thunderbird-locale-en-us
totem
totem-common
totem-plugins
transmission-common
transmission-gtk
uno-libs-private
ure
usb-creator-common
usb-creator-gtk
vino
