acpi-support
acpid
aisleriot
alsa-base
alsa-utils
anacron
app-install-data-partner
apport-gtk
appstream
apturl
apturl-common
avahi-autoipd
baobab
bluez-cups
bolt
branding-ubuntu
brltty
cheese
chromium-codecs-ffmpeg-extra
cups-bsd
dbus-x11
dc
deja-dup
dmz-cursor-theme
duplicity
eog
espeak-ng-data
ethtool
evince
evince-common
firefox
firefox-locale-en
fonts-beng
fonts-beng-extra
fonts-deva
fonts-deva-extra
fonts-freefont-ttf
fonts-gargi
fonts-gubbi
fonts-gujr
fonts-gujr-extra
fonts-guru
fonts-guru-extra
fonts-indic
fonts-kacst
fonts-kacst-one
fonts-kalapi
fonts-khmeros-core
fonts-knda
fonts-lao
fonts-liberation
fonts-liberation2
fonts-lklug-sinhala
fonts-lohit-beng-assamese
fonts-lohit-beng-bengali
fonts-lohit-deva
fonts-lohit-gujr
fonts-lohit-guru
fonts-lohit-knda
fonts-lohit-mlym
fonts-lohit-orya
fonts-lohit-taml
fonts-lohit-taml-classical
fonts-lohit-telu
fonts-mlym
fonts-nakula
fonts-navilu
fonts-noto-cjk
fonts-noto-color-emoji
fonts-opensymbol
fonts-orya
fonts-orya-extra
fonts-pagul
fonts-sahadeva
fonts-samyak-deva
fonts-samyak-gujr
fonts-samyak-mlym
fonts-samyak-taml
fonts-sarai
fonts-sil-abyssinica
fonts-sil-padauk
fonts-smc
fonts-smc-anjalioldlipi
fonts-smc-chilanka
fonts-smc-dyuthi
fonts-smc-gayathri
fonts-smc-karumbi
fonts-smc-keraleeyam
fonts-smc-manjari
fonts-smc-meera
fonts-smc-rachana
fonts-smc-raghumalayalamsans
fonts-smc-suruma
fonts-smc-uroob
fonts-taml
fonts-telu
fonts-telu-extra
fonts-thai-tlwg
fonts-tibetan-machine
fonts-tlwg-garuda
fonts-tlwg-garuda-ttf
fonts-tlwg-kinnari
fonts-tlwg-kinnari-ttf
fonts-tlwg-laksaman
fonts-tlwg-laksaman-ttf
fonts-tlwg-loma
fonts-tlwg-loma-ttf
fonts-tlwg-mono
fonts-tlwg-mono-ttf
fonts-tlwg-norasi
fonts-tlwg-norasi-ttf
fonts-tlwg-purisa
fonts-tlwg-purisa-ttf
fonts-tlwg-sawasdee
fonts-tlwg-sawasdee-ttf
fonts-tlwg-typewriter
fonts-tlwg-typewriter-ttf
fonts-tlwg-typist
fonts-tlwg-typist-ttf
fonts-tlwg-typo
fonts-tlwg-typo-ttf
fonts-tlwg-umpush
fonts-tlwg-umpush-ttf
fonts-tlwg-waree
fonts-tlwg-waree-ttf
fonts-ubuntu
fonts-yrsa-rasa
foomatic-db-compressed-ppds
fprintd
fwupd
fwupd-signed
gamemode
gdb
gdbserver
gdm3
gedit
gedit-common
genisoimage
ghostscript-x
gir1.2-atspi-2.0
gir1.2-dee-1.0
gir1.2-gck-1
gir1.2-gcr-3
gir1.2-gdm-1.0
gir1.2-geoclue-2.0
gir1.2-gmenu-3.0
gir1.2-gnomebluetooth-1.0
gir1.2-goa-1.0
gir1.2-graphene-1.0
gir1.2-gst-plugins-base-1.0
gir1.2-gstreamer-1.0
gir1.2-gtksource-4
gir1.2-gudev-1.0
gir1.2-gweather-3.0
gir1.2-javascriptcoregtk-4.0
gir1.2-mutter-6
gir1.2-peas-1.0
gir1.2-rb-3.0
gir1.2-rsvg-2.0
gir1.2-snapd-1
gir1.2-totem-1.0
gir1.2-totemplparser-1.0
gir1.2-udisks-2.0
gir1.2-unity-5.0
gir1.2-webkit2-4.0
gir1.2-wnck-3.0
gjs
gnome-calculator
gnome-calendar
gnome-characters
gnome-disk-utility
gnome-font-viewer
gnome-getting-started-docs
gnome-initial-setup
gnome-logs
gnome-mahjongg
gnome-menus
gnome-mines
gnome-screenshot
gnome-session-bin
gnome-session-canberra
gnome-session-common
gnome-shell
gnome-shell-common
gnome-shell-extension-appindicator
gnome-shell-extension-desktop-icons
gnome-shell-extension-ubuntu-dock
gnome-startup-applications
gnome-sudoku
gnome-system-monitor
gnome-todo
gnome-todo-common
gnome-video-effects
grilo-plugins-0.3-base
gstreamer1.0-alsa
gstreamer1.0-gtk3
gstreamer1.0-libav
gstreamer1.0-packagekit
gstreamer1.0-plugins-base-apps
gstreamer1.0-plugins-ugly
